No.	Asià.
De.	Kie'.
Un.	Jä.
Tirado.	tikâī
Trae.	Kiäi.
Tiene.	Kiäi.
Como.	Lià.
Monte.	je' naü
Viento.	Tyi'.
Aire.	Tyi'.
LLuvia.	Ujπ.
Arma.	Atéi.
igual.	Kö nài.
Cerro.	Amà.
Cueva.	tò käû
Cuava.	Tò mà.
Mundo.	Mkú.
Vine.	Kuâ 
Atras.	Takò.
Pan.	A'ei ñi.
Vio.	ajèi
Hijo.	Ajö
patrón.	Jeù.
Duerme.	Pm.
Bien.	ko'rè.
Poco.	Kaleù.
Diez.	kiä
Bueno.	Tsei.
Día.	Jm.
Uno.	Kö.
Abeja.	Ja'pm'.
Rey.	Ré.
Musica.	Sëü.
Feliz.	siñoì
Hora.	horà.
Avispa.	Amàbmπ.
Uno.	Kö
Dos.	Teü.
Tres.	Nëī.
Quince.	Kià ñà.
Mayo.	Mayo.
Todo.	Làtâ.
Todo.	Lajeī.
Todos.	Lajäī.
Día.	Jπ.
Día de.	Jπ kie'.
Bueno.	Tsei.
Bien.	Tsei.
Niños.	Simai.
Hoy.	Nè.
Mucho.	Liö.
Hace.	Jüoi.
Mes.	Sėi.
Mes.	Sêi.
Gente.	Chie.
Padre.	Jmaī.
Piedra.	Mkäü.
Cocina.	Jé jyí.
Señora.	Adöm.
Coco.	Mseü.
Murio.	Ajäü.
Esposa.	Adöm kiâi.
Ropa.	apm'.
Blanco.	Tié.
Hombre.	Añii.
Muerto.	Ajäü.
Cueva.	Tò nòò.
Dueño.	Jeu.
Animal.	Ja'.
Hoyo.	Tò.
Fueron.	Ngô.
Entro.	A éi.
Padres.	Jmaì siè.
Padre.	Jmaì.
Madre.	Siè.
Monte.	Je' naü.
Mucho.	Liö.
Poder.	Wapéi.
Tiene.	kiäi.
Pajaro.	Jötâ.
Ave.	Jötâ.
Niño.	Apei ñii.
Un día.	kö jm.
Señor.	Adö ñii.
Tigre.	Adya'.
león	Adya' Leö.
Camina.	Angêī.
Anda.	Angêī.
Camino.	Oò jeu.
Mal.	Laį.
seguro.	Leį rè.
Romper.	Jeü.
Luna.	Sēi.
Bebé.	Yëi pei.
Sueldo.	Liäì.
Dijo.	Ajua.
Dijo.	Ajuà.
Altar.	Niyiè
Para.	ikie'
Arriba.	Tàyei.
Cuando.	Kö mà.
Venado.	Asäi.
Camino.	ojeù.
Se resbalo.	waseü.
Le paso.	Ajä'i.
Anciano.	Adö.
Coyote.	Atsái näü.
Viejo.	Adö.
Padres.	Jmaì siè.
No queria.	Samà niè.
A buscar.	Awá niè.
Animales con dueño.	Ja'añiô chie.
Iguales.	Kö nài.
armadillo.	Aki'.
Un rato.	kö' leè.
No respeto.	Sàmakò.
Mientras.	ta, là.
Dónde Trabajaba.	Imàjuö tá.
Mi madre.	Sià jnià.
Entonce.	jö
Regresara.	Jyô.
Se cayó.	Akäi'.
Mi mamá.	Sià jnià.
Pondras.	tyà.
Muy bien.	Ko'rè ño'
Mañanita.	Tò ié pei.
Teprano.	Tò ié.
Acuerdo.	jaù reè.
Escuchoi.	anäu
Elefante.	Alefante
Se enojo.	ijö rakô.
Necesita.	Nia.
Hacer caso.	Roì.
Anecdota.	Jau ityà.
Una vez.	kötâ.
Correcto.	korè.
Lo que hay.	Isià.
Llegara.	tyië.
Demasiado.	Liö mai.
Respeta.	Makô.
Para asi.	Kä' lajö.
Platico.	Atyài jau.
Converso.	Atyài jau.
Fallecio.	Ajäü.
Su señora.	Adöm kiâi.
Enfermó.	Rachièè.
Trabaja.	Jüoi tá.
Sembrador.	Ajnei.
Maestro.	Atėī.
Trabajo.	Tá.
Para asi.	Kä lajö
Plátano.	Utoó.
Animales.	Ja'.
Agujero.	Tò.
Asi era.	Lanè màleį.
Palabra.	Jau.
Que dijo.	Ia'lē
Pequeño.	Peì.
fue hacer.	Wajuöi.
Anecdota.	Jau ityà.
Problema.	Waitsei.
Trabajador.	Ajuö tá.
Grosería.	jau la¥.
Se enfermo.	Rachièè
En seguida.	Lamà jö.
En seguida.	Làmajô.
Hace tiempo.	Majô nè.
En el pasado.	Majô nè.
Sentirse Mal.	isawäi
Tepescuintle.	Angä
voz de una persona.	oò' chie.
Tortilla de yuca.	A'ei jyèi.
Fué a trabajar.	Wajuöi tá.
Que regrese.	Wajyöī,
Dice la gente.	'lê chie.
Te Respeten.	makòi nëi
Bajo el agua.	Joò jπ.
Pensamientos.	waitsei.
Entonces dijo.	Jö ajua.
Dia de muertos.	Jm kie' ajäü.
Donde hacia.	Imàjuö.
Cuando fueron.	Kö mà ngôi.
Lo que cuentan.	Jau ityà.
Donde trabajaba.	Imàjuö tá.
Niñitos pequeños.	Simai pei.
Vestian ropa blanca.	Atiô apm' tié.
Cuando llego el dia.	Kö mà tyiè jm.
El hombre de la cueva.	Añii kiä tò nòò.
Lo que se dice.	Jau sià
El maestro es el sembrador de los conocimientos del saber y se desvela por preparar sus clases y se preocupa por los niños.	atêī ajnei lajeī waeitsei tsei ikö' lajäī simaì Asià pm' ijuöi lajeī majyi kie' jüoi liö waitsei tsei kie' simai.
Hoy quince de mayo día del maestro todo México conmemora el día del maestro.	Nè kiä kià ñà sêi Mayo jm kie' lajäī atêīn Làtâ gò jπ kie' lajäī atêī.
El trabajador incansable. el maestro se prepara cada día,para heredar mejores conocimientos, para los niños de México.	A'äi ajuö tá lajeī jπ. A’têī lajeī k, pà matäī kä' lajö kuói waeitsei kie' ikö' simai pei ikö lajäī asiâ gò jπ.
El día quince de mayo, día del maestro sin compensación por ser su día, sigue trabajando, y al mismo tiempo es criticado por exigir un salario justo para una educación justa.	Jm kiä kià nà sêi Mayo, jm kie' lajäī Atêī jm jö ikö isià iyei iku'oo jeù Jüoi tá, 'lê chie jau la¥ kiì lío nëi kie' imm', ilì liäì kaleù liö kä lajö silèi ko'rè ño' lajeì tá.
Cuando se acercaba el día de los muertos un niño le dijo a su papá ¿No vas a poner ofrenda de muertos? Porque va venir mi mamá en ese día.	LateĪ má'loò jm kie' ajäü, jö ajua jä apéi asaî jmaī i ¿ o' asià tyà niyiè lajeī ikie' ajäu? kie' tà Ià jyô sià jnià jm jö.
Yo no voy hacer nada, tu madre siempre estuvo en la cocina, que venga a ver la piedra del fuego que es ahí donde siempre estuvo en vida.	Asià juô, siè nëi lajeī jm pà si sâi jé jyí, wajyöī nià jeì mkäü pá kie itìniè jé jyí imàjuö tá.
Así que cuando llegó el día dos de noviembre, día de muertos se llevó a su hijo al campo a trabajar con él.	Kö mà tyiè jm kiä teü sēī Noviembre, jm kië ajäü, jö jyaī ajö ngôi jé.
Estaba trabajando cuando de pronto vio rumbo al pueblo que venía mucha gente vestida de blanco.	wajuöi tá, imà sijuö tá jö, jö ajèi tàyei, jö ajêi chie a'äi atiô apm' tié.
Eran los muertos que venían del pueblo, todos iban cargando las ofrendas que sus familiares habían puesto en el altar.	Ajäü pà dà ajêi a'äi atiô jeu, ajêi ajaü atī kiê lajeī màà aniè nëi yiè.
Algunos llevaban cocos, plátanos, camotes, calabazas, tortillas de yuca, pan, etc., y hasta atrás venía su mujer con la piedra y el se asustó mucho.	Kachiô kië tiö Mseü, Utoó, Mjyèi, mà. Umá, A'ei jyèi sijnài A'ei ñi, iteį takò màjö' adöm kiâi, a'äi akië Mkäü pà ijö i ajuôi.
Entonces ella le dijo: Mira aquí vengo con esta piedra porque esto fue lo único que conocí cuándo vine en el mundo.	 Ljô ajuôi Jé tiô lajâi, tie' là, kië kö mkäü pà, mkäü pà ijö ajuô tá, ta, là kuâ mkú.
Después de esto el hombre cayó enfermo, su mujer había dicho esto porque ella lo había escuchado cuando éste se negó a poner la ofrenda.	Kö mà aleį jö rachièè añii a π kiä ajuà jö pà ajä'i lànè nëi sàmakò lajeī ityài jm kie' ajäü.
Al poco tiempo este hombre murió, porque había hablado con su difunta esposa.	Kö' leè jm pà juo' ateī jö ajäü añii äi, kié' tà là atyài jau jyâi ajaü.
Dice que hay dueños de los animales: tejones, mazates, tepescuincles, tigres, en fin, están en las cuevas de los cerros.	Jau sià, sià jeu lajäī nai ja': Aki', Asäi, Angä, Adya', jëü pà ja leį, tiöì tò mà o tò käû.
Los cerros son iguales que los potreros con animales que tienen dueños; se dice que los cerros y los animales tienen dueños porque así lo contaban los viejos.	Lajeī amà leī kö nài, lià ilèį joò Aaà kie' ja'añiô chie, amà ñà lajäī ja' tiö siâ jä jeùi, a'äi a ié kii, lajeī jau là, ityà adö tiö'.
Pero ahora esto ya no se deja ver dicen que son los duendes (a too) dueños de los cerros y de todos los animales que hay ahí.	lajäī jeù_ja tiö, asiè mà majniaì, kie' tà läī jeù lajäī ja' tiô, jeu lajeī amà isià nëi mkulà, ñà lajäī naī ja'.
El otro día fueron dos señores a cazar tepescuincles y entraron a una cueva y ahí encontraron una vasija de barro.	Kö jm lingô ô adö ñii tiô wasiâi angä ijö a'éi kö tò, ijö achiì joò tò jö kö atsai imako' Adö tiô.
La cueva era profunda pero ya no se metieron más al fondo porque no llevaban lámpara y porque uno de ellos empezó a sentirse mal.	itò jö liö maì ku'oo, asié mà ngö tà naì, kie' tà là sièmàkiäi ujy¥ ijâ chie kiäi ajäi laī.
A esta cueva nadie había entrado, ellos se metieron porque traían rifles, pero apenas pudieron porque se sentían muy mal.	Tò jö ijä chie, asià mà a'eī, jö a éi tò jö kie' tà là makiäi Atéi, latô a éi tò jö lamà jö pà ajä'i lài, aleī isawäi.
Dicen que se enfermaron porque les tocó un mal aire y ese mal aire es el dueño de la cueva.	Aleī arachiī kie' tà là atē tyí laį éi, nëi. kie' a éi tò, tyí läī ayeì tò jô.
Pero es un aire malo porque uno de los señores se puso tieso y tuvieron que ir a buscarlo y lo encontraron tirado en el camino.	Jeü chie tiô aleį sawáī kie' tà là yëi tò jö, alaį éi iwa', nëi kie' eùi päi tyí, ngô chie awá niè kiì, kie' tà Ià rawà éi, jö achiâi o ò  jeu.
Uno habló hasta el tercer día, dicen que se pusieron así porque no quería el “dueño” que entraran en esa cueva.	jä chie äi a'lei teī nëī jm. ajäi, lajö kie' tà là samà niè jeu toò jä isà nia' si éi tò itiö lajäī jeu ja'.
Así era desde mucho más antes, cuentan nuestros antepasados, que los animales que habitan en este mundo, piensan de diferente manera, que cuando aúllan los coyotes es seguro que va a llover o viene el viento.	Lanè màleį majô nè, jau ia'lē lajäī jmaì siè a'äi amàkichiä, lajäī ja'asiä nëi mkúlà, juö waitséi makëi,lateì oo' Atsái näü, leį rè pà jyà ujπ o jyà tyi'.
Todos los animales tienen dueño, quién los cuida que se llama chaneco, el rey de los animales del monte, como el venado, mazate, tejón, armadillo, tepescuincle, etc.	lajäī ja' siä jéùi, a'äi a ié kiì, a'äi asäì Añii akiä mà, Ré kiä lajäī naì ja' asiâ je' naü, lià Akuà Näu, Asäi, Akiì, Ajèi, Angä.
También hay otro rey de los animales acuáticos que se llama taneko es el que manda a los animales que viven en el agua.	Lanè siä jä ré jeùi lajäī ja' atiô joò jπ a'äi asäi chaneco, a'äi ajuô éi ikö'lajäī ja' atiö joò jπ.
Estos dos seres están tan pequeños que no se pueden ver a simple vista, pero tienen muchos poderes.	chie peì là asiâ jêi làmajô o jeù Mneì, liö wapéi kiäi.
Una vez le sucedió a un niño, cuando se dirigía a un camino vecinal, a matar pájaros; de repente se escucharon voces de algunas personas.	kö jm ajä'i jä apei ñii, kö mà ngôi wa'lei jötâ, kö Ià Ià a'äi je'näü kö itià lià ileį ià oò' chie.
El niño volteó por todos lados para ver quién hablaba y vio a dos señores de edad, que decían, apúrense, apúrense que ya viene, ya viene.	apei ñii äi ajéi alà ajnò, jèi âi a'lė, jö ajêi ô adö ñii, i adö ñii äi ajuà, tià ngëī, tia ngëī ijáì,mà ijáì.
El niño se asustó mucho, y comenzó a correr a toda velocidad, de tanto que corrió el niño se cayó tres veces, ya que en el camino había muchas hojas secas y se resbalaba.	i apei ñii äi liö mài ajúôi o á iäī, kö juà tià a éi apei äi jeú jö akäi' apei äi, näī niè, kie' tà là ojeù liô u'öö màoó tikâī ojeù, kö juà u'öö ma oó këi waseü.
Después de tres días de haberse asustado, el niño cayó enfermo con mucha calentura, sus padres ya no podían hacer nada porque no había médico en ése tiempo.	kö mà ateī nëī jm jö ratyëi apei ñii äi, jmai siè apei äi si nï ė siâi aleį kie' tà là asiâ atėīm mà siâ jm' jô.
Tuvieron que buscar al curandero, el curandero le dijo que el niño se había asustado mucho.	ö ngôi wajêi jä chie a'äi atäī él oó, ijö ajuài, apeì itö imà iäį pì, rachiì.
Por eso no hay que permitir que los niños anden en lugares solitarios.	tié là jeù nëi, asié mà kuo'jeu ingëī apei jö ñââ.
Canción de la luna, que salga la luna, no le hagas caso a este hombrecito, Salga la luna vámonos de una vez, Este hombre es un caminante.	Sëü kie' jä sēi, Wà i aī sēī nè, arô nëi jeu yëi pei là, Jau sēī mà kiä kötâ, Añii Ià a ngêī jeu juö pà là.
Que salga la luna en su totalidad salga la luna vámonos de una vez,Salga la luna, a este hombre no salga la luna vámonos de una vez.	Wà i aī sēī la tâ jau sēī mà kiä kötâ, Jau sēī, ajô ikö añii là, jau sēī, mà kiä kötâ.
Los moradores de la región Usileña, Quienes vivieron anteriormente, se vestían de calzón de manta los hombres y las mujeres se vestían de huipil que ellas mismas tejían.	Lajäī chie amakichiä a'äi asiä je' jeu jëi. liö mài īsei matäī kiì, Añii mà si éi apm' ki' itéi apm' yèi, lajäī amπ tiô mà si éi amajau yëi, ijö imajuöi tiöi.
no había personas que usaran pantalón y antes de empezar la semana mayor.	asiä chie masiä atiö apm' ikie' tiè là, latèi raliè jm tà éé.
su diversión era el baile del carnaval en donde bailaban los hombres vestidos de huipil, cubierto con pañuelo rojo y sombrero en sus cabezas, y hablaban en chinanteco porque no había personas bilingües en ese tiempo.	jö mà ma'lili jä kie' asièlià, ijö imachiè añii tiö i ëi amajaù iéi ukuà nëi, ñà liè apä yëi matyi ñà éi aujyi matyi' lia, lajäi tiöi 'lēi jau jm, asià jau ni' ma'lēi jm jö.
Muchas de estas cosas ya no se hacen ahora y los jóvenes ya no quieren hablar su lengua y las señoritas ya no se visten de huipil.	Jm itiè tò nè Ià asié Ià nè màleī, asié ma i'lēi jau jm kie', asié si éi amajau.
Es importante rescatar las costumbres y las tradiciones de nuestros antepasados.	Tié Ia nià mako' lajetī inè, kie' tà là leī kö itseèi.
porque solamente de esta manera el pueblo indígena se identifica y sobre todo la lengua no se debe perder porque es una herencia primordial de nuestros padres.	nia' ilē jau jm kiâ, nia' juö lajeī itsèi ikö' lajätī adö tiö, kie' kö' juà inè a'loó itsei ikö jnia.
